Tile Name -> Server Filename Mapping
============================================================

N-15_W170       -> w170_n-10_w165_n-15.geojson
N60_W165        -> w165_n65_w160_n60.geojson
N60_W170        -> w170_n65_w165_n60.geojson
N60_W175        -> w175_n65_w170_n60.geojson
N65_W075        -> w075_n70_w070_n65.geojson
N65_W080        -> w080_n70_w075_n65.geojson
N65_W085        -> w085_n70_w080_n65.geojson
N65_W095        -> w095_n70_w090_n65.geojson
N65_W125        -> w125_n70_w120_n65.geojson
N65_W135        -> w135_n70_w130_n65.geojson
N65_W140        -> w140_n70_w135_n65.geojson
N65_W145        -> w145_n70_w140_n65.geojson
N65_W150        -> w150_n70_w145_n65.geojson
N65_W155        -> w155_n70_w150_n65.geojson
N65_W160        -> w160_n70_w155_n65.geojson
N65_W165        -> w165_n70_w160_n65.geojson
N65_W170        -> w170_n70_w165_n65.geojson
N70_W080        -> w080_n75_w075_n70.geojson
N70_W085        -> w085_n75_w080_n70.geojson
N70_W135        -> w135_n75_w130_n70.geojson
N70_W145        -> w145_n75_w140_n70.geojson
N70_W150        -> w150_n75_w145_n70.geojson
N70_W155        -> w155_n75_w150_n70.geojson
N70_W160        -> w160_n75_w155_n70.geojson
N70_W165        -> w165_n75_w160_n70.geojson
